Column,Dtype,Non_Null_Count,Null_Count,Null_Pct,Unique_Values,Sample_Values
Gender,object,7043,0,0.0,2,"['Male', 'Female']"
Senior Citizen,object,7043,0,0.0,2,"['No', 'Yes']"
Partner,object,7043,0,0.0,2,"['No', 'Yes']"
Dependents,object,7043,0,0.0,2,"['No', 'Yes']"
Tenure Months,int64,7043,0,0.0,73,"[2, 8, 28]"
Phone Service,object,7043,0,0.0,2,"['Yes', 'No']"
Multiple Lines,object,7043,0,0.0,3,"['No', 'Yes', 'No phone service']"
Internet Service,object,7043,0,0.0,3,"['DSL', 'Fiber optic', 'No']"
Online Security,object,7043,0,0.0,3,"['Yes', 'No', 'No internet service']"
Online Backup,object,7043,0,0.0,3,"['Yes', 'No', 'No internet service']"
Device Protection,object,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Tech Support,object,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Streaming TV,object,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Streaming Movies,object,7043,0,0.0,3,"['No', 'Yes', 'No internet service']"
Contract,object,7043,0,0.0,3,"['Month-to-month', 'Two year', 'One year']"
Paperless Billing,object,7043,0,0.0,2,"['Yes', 'No']"
Payment Method,object,7043,0,0.0,4,"['Mailed check', 'Electronic check', 'Bank transfer (automatic)']"
Monthly Charges,float64,7043,0,0.0,1585,"[53.85, 70.7, 99.65]"
Total Charges,float64,7032,11,0.16,6530,"[108.15, 151.65, 820.5]"
Churn Label,int64,7043,0,0.0,2,"[1, 0]"
